Year,Month,Day,day_of_year
1944,9,15,259
1945,9,15,258
1946,12,13,347
1947,11,14,318
1948,12,24,359
1949,9,15,258
1950,12,22,356
1951,9,15,258
1952,11,25,330
1953,9,15,258
1954,11,18,322
1955,12,9,343
1956,11,18,323
1957,12,9,343
1958,12,9,343
1959,12,5,339
1960,12,8,343
1961,12,12,346
1962,12,13,347
1963,12,4,338
1964,12,25,360
1965,11,11,315
1966,12,11,345
1967,12,7,341
1968,11,4,309
1969,12,3,337
1970,12,22,356
1971,9,15,258
1972,9,15,259
1973,11,25,329
1974,9,15,258
1975,9,15,258
1976,12,11,346
1977,9,15,258
1978,12,4,338
1979,12,8,342
1980,10,31,305
1981,12,5,339
1982,9,15,258
1983,12,15,349
1984,12,27,362
1985,11,13,317
1986,12,20,354
1987,9,15,258
1988,11,29,334
1989,9,15,258
1990,9,15,258
1991,9,15,258
1992,9,15,259
1993,9,15,258
1994,9,15,258
1995,11,16,320
1996,12,13,348
1997,11,24,328
1998,11,16,320
1999,12,12,346
2000,12,23,358
2001,12,20,354
2002,12,6,340
2003,10,22,295
2004,9,15,259
2005,11,17,321
2006,9,15,258
2007,9,15,258
2008,9,15,259
2009,12,16,350
2010,11,23,327
2011,9,15,258
2012,11,30,335
2013,9,15,258
2014,12,25,359
2015,9,15,258
2016,9,15,259
2017,9,15,258
2018,11,23,327
2019,9,15,258
2020,9,15,259
2021,11,29,333
2022,12,6,340
